,date,fa_date,reason
15,1999-06-22,13780401,1 تیر شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
16,1999-07-01,13780410,10 تیر میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
17,1999-09-14,13780623,23 شهریورشهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
18,1999-10-23,13780801,1 آبان ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
19,1999-11-06,13780815,15 آبان مبعث رسول اکرم (ص)[ 27 رجب ]
20,1999-11-24,13780903,3 آذر ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
21,1999-12-30,13781009,9 دی شهادت حضرت علی علیه السلام[ 21 رمضان ]
22,2000-01-08,13781018,18 دی عید سعید فطر[ 1 شوال ]
23,2000-01-09,13781019,19 دی تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
24,2000-02-01,13781112,12 بهمن شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
25,2000-02-11,13781122,22 بهمن پیروزی انقلاب اسلامی
26,2000-03-17,13781227,27 اسفند عید سعید قربان[ 10 ذوالحجه ]
27,2000-03-19,13781229,29 اسفند روز ملی شدن صنعت نفت ایران
0,2000-03-20,13790101,1 فروردین جشن نوروز/جشن سال نو
1,2000-03-21,13790102,2 فروردین عیدنوروز
2,2000-03-22,13790103,3 فروردین عیدنوروز
3,2000-03-23,13790104,4 فروردین عیدنوروز
4,2000-03-25,13790106,6 فروردین عید سعید غدیر خم[ 18 ذوالحجه ]
5,2000-03-31,13790112,12 فروردین روز جمهوری اسلامی
6,2000-04-01,13790113,13 فروردین جشن سیزده به در
7,2000-04-14,13790126,26 فروردین تاسوعای حسینی[ 9 محرم ]
8,2000-04-15,13790127,27 فروردین عاشورای حسینی[ 10 محرم ]
9,2000-05-25,13790305,5 خرداد اربعین حسینی[ 20 صفر ]
10,2000-06-02,13790313,13 خرداد رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
11,2000-06-03,13790314,14 خرداد رحلت حضرت امام خمینی
12,2000-06-03,13790314,14 خرداد شهادت امام رضا علیه السلام[ 29 صفر ]
13,2000-06-04,13790315,15 خرداد قیام 15 خرداد
14,2000-06-11,13790322,22 خرداد شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
15,2000-06-20,13790331,31 خرداد میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
16,2000-09-02,13790612,12 شهریورشهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
17,2000-10-11,13790720,20 مهر ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
18,2000-10-25,13790804,4 آبان مبعث رسول اکرم (ص)[ 27 رجب ]
19,2000-11-12,13790822,22 آبان ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
20,2000-12-18,13790928,28 آذر شهادت حضرت علی علیه السلام[ 21 رمضان ]
21,2000-12-27,13791007,7 دی عید سعید فطر[ 1 شوال ]
22,2000-12-28,13791008,8 دی تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
23,2001-01-20,13791101,1 بهمن شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
24,2001-02-10,13791122,22 بهمن پیروزی انقلاب اسلامی
25,2001-03-06,13791216,16 اسفند عید سعید قربان[ 10 ذوالحجه ]
26,2001-03-14,13791224,24 اسفند عید سعید غدیر خم[ 18 ذوالحجه ]
27,2001-03-19,13791229,29 اسفند روز ملی شدن صنعت نفت ایران
28,2001-03-20,13791230,30 اسفند آخرین روز سال
0,2001-03-21,13800101,1 فروردین جشن نوروز/جشن سال نو
1,2001-03-22,13800102,2 فروردین عیدنوروز
2,2001-03-23,13800103,3 فروردین عیدنوروز
3,2001-03-24,13800104,4 فروردین عیدنوروز
4,2001-04-01,13800112,12 فروردین روز جمهوری اسلامی
5,2001-04-02,13800113,13 فروردین جشن سیزده به در
6,2001-04-04,13800115,15 فروردین تاسوعای حسینی[ 9 محرم ]
7,2001-04-05,13800116,16 فروردین عاشورای حسینی[ 10 محرم ]
8,2001-05-14,13800224,24 اردیبهشت اربعین حسینی[ 20 صفر ]
9,2001-05-22,13800301,1 خرداد رحلترسول اکرم؛شهادت امام حسن مجتبی علیه السلام[ 28 صفر ]
10,2001-05-24,13800303,3 خرداد شهادت امام رضا علیه السلام[ 30 صفر ]
11,2001-06-01,13800311,11 خرداد شهادت امام حسن عسکری علیه السلام[ 8 ربيع الاول ]
12,2001-06-04,13800314,14 خرداد رحلت حضرت امام خمینی
13,2001-06-05,13800315,15 خرداد قیام 15 خرداد
14,2001-06-10,13800320,20 خرداد میلاد رسول اکرم و امام جعفر صادق علیه السلام[ 17 ربيع الاول ]
15,2001-08-23,13800601,1 شهریورشهادت حضرت فاطمه زهرا سلام الله علیها[ 3 جمادي الثانيه ]
16,2001-10-01,13800709,9 مهر ولادت امام علی علیه السلام و روز پدر[ 13 رجب ]
17,2001-10-15,13800723,23 مهر مبعث رسول اکرم (ص)[ 27 رجب ]
18,2001-11-01,13800810,10 آبان ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان[ 15 شعبان ]
19,2001-12-07,13800916,16 آذر شهادت حضرت علی علیه السلام[ 21 رمضان ]
20,2001-12-16,13800925,25 آذر عید سعید فطر[ 1 شوال ]
21,2001-12-17,13800926,26 آذر تعطیل به مناسبت عید سعید فطر[ 2 شوال ]
22,2002-01-09,13801019,19 دی شهادت امام جعفر صادق علیه السلام[ 25 شوال ]
23,2002-02-11,13801122,22 بهمن پیروزی انقلاب اسلامی
24,2002-02-23,13801204,4 اسفند عید سعید قربان[ 10 ذوالحجه ]
25,2002-03-03,13801212,12 اسفند عید سعید غدیر خم[ 18 ذوالحجه ]
26,2002-03-20,13801229,29 اسفند روز ملی شدن صنعت نفت ایران
0,2002-03-21,13810101,1 فروردین جشن نوروز/جشن سال نو
1,2002-03-22,13810102,2 فروردین عیدنوروز
2,2002-03-23,13810103,3 فروردین عیدنوروز
3,2002-03-24,13810104,4 فروردین عیدنوروز
4,2002-03-24,13810104,4 فروردین تاسوعای حسینی[ 9 محرم ]
5,2002-03-25,13810105,5 فروردین عاشورای حسینی[ 10 محرم ]
